Packet #,Jitter(ms),,,,,
609,4.768749673,320.591952,846.144,,OK,
611,4.509154555,321.2071798,846.144,,OK,
613,4.298531978,320.0679864,835.296,,OK,
615,4.131817403,321.6990852,846.144,,OK,
617,3.912184211,321.0813989,846.144,,OK,
619,3.735853997,322.1722997,835.296,,OK,
621,3.62443458,320.2191563,835.296,,OK,
623,3.51068728,322.0236341,835.296,,OK,
625,3.322094408,321.5304328,835.296,,OK,
627,3.164704744,322.3342926,846.144,,OK,
629,3.424150093,315.0184622,846.144,,OK,
631,3.395988879,317.9920329,856.992,,OK,
633,3.325539748,320.2608357,867.84,,OK,
635,3.117854284,320.2582633,878.688,,OK,
637,3.02724844,321.9264241,889.536,,OK,
639,2.944290121,320.2265088,878.688,,OK,
641,2.804969134,319.5113544,889.536,,OK,
643,2.727299425,321.0736082,900.384,,OK,
645,2.573215252,321.3355609,878.688,,OK,
647,2.421932966,321.4882596,867.84,,OK,
649,2.292394704,321.8375803,867.84,,OK,
651,2.155608618,321.733763,867.84,,OK,
653,2.050852725,321.2542487,878.688,,OK,
655,1.993312854,322.3844634,889.536,,OK,
657,1.929283571,321.4156191,889.536,,OK,
659,1.983657181,318.6163578,867.84,,OK,
661,2.042039587,321.5341334,867.84,,OK,
663,1.987507661,320.3646047,878.688,,OK,
665,2.529778043,309.7007709,878.688,,OK,
667,2.713582186,315.1714152,889.536,,OK,
669,3.303037161,303.0265534,878.688,,OK,
671,3.31427704,306.5094287,889.536,,OK,
673,3.457082746,312.108597,900.384,,OK,
675,3.654653775,318.7268162,911.232,,OK,
677,3.619104928,321.8126884,922.08,,OK,
679,3.397709794,321.7359057,922.08,,OK,
681,3.190342203,321.815734,922.08,,OK,
683,3.001097516,321.9781612,932.928,,OK,
685,3.07110622,317.8569244,943.776,,OK,
687,3.059938602,320.7493488,954.624,,OK,
689,3.017299113,318.371642,943.776,,OK,
691,2.84839378,318.0568282,954.624,,OK,
693,2.777536189,319.7715006,954.624,,OK,
695,2.736435754,321.8914298,965.472,,OK,
697,2.652811193,320.492987,965.472,,OK,
699,2.567621639,321.7827653,976.32,,OK,
701,2.420004551,321.9885136,976.32,,OK,
703,2.740674877,314.4377838,987.168,,OK,
705,2.945300156,320.4524631,987.168,,OK,
707,2.824271722,321.4613083,987.168,,OK,
709,2.707699004,322.4204166,998.016,,OK,
711,2.60385874,321.3741618,998.016,,OK,
715,2.734971332,316.6725016,987.168,,OK,
717,2.880454624,321.7352056,976.32,,OK,
719,2.71716671,322.0030536,965.472,,OK,
723,3.374576985,308.7673224,932.928,,OK,
725,3.998368736,322.1225674,932.928,,OK,
727,3.887077509,319.9048583,922.08,,OK,
729,3.655631353,320.0887973,900.384,,OK,
731,3.877370893,312.8853333,878.688,,OK,
733,4.169819455,321.4418812,878.688,,OK,
735,3.961446114,322.2777272,878.688,,OK,
737,3.758939329,321.5563897,878.688,,OK,
739,3.529200024,321.6395001,878.688,,OK,
741,3.43352662,319.6410746,878.688,,OK,
743,3.376379734,322.160251,867.84,,OK,
745,3.202792973,321.5612594,867.84,,OK,
747,3.038530752,322.1358569,867.84,,OK,
749,2.901752552,321.2857773,856.992,,OK,
751,3.187647803,313.8097008,846.144,,OK,
753,3.502346537,322.0325283,846.144,,OK,
755,3.374499476,320.5757348,846.144,,OK,
757,3.347435384,317.6342608,813.6,,OK,
759,3.404584728,321.8960857,824.448,,OK,
761,3.369631314,319.0507556,824.448,,OK,
763,3.235525857,320.2746996,824.448,,OK,
765,3.057310046,320.6587724,824.448,,OK,
767,3.248165676,314.5477723,824.448,,OK,
769,3.360428258,319.5921393,824.448,,OK,
771,3.313417798,322.2004002,824.448,,OK,
773,3.219018692,320.3973681,824.448,,OK,
775,3.024357781,320.292924,824.448,,OK,
777,3.243279357,313.765821,813.6,,OK,
779,3.366809453,318.9855819,824.448,,OK,
781,3.231417293,320.1861168,824.448,,OK,
783,3.090634774,321.1650138,824.448,,OK,
785,2.953717032,322.0649647,835.296,,OK,
787,3.070139661,317.2484856,824.448,,OK,
789,3.111708308,320.9837236,835.296,,OK,
791,2.944128858,320.5532864,835.296,,OK,
793,2.852780297,322.0358383,835.296,,OK,
795,2.690706473,321.7762392,835.296,,OK,
797,8.603776819,224.4764072,781.056,,OK,
799,8.072961385,224.5871371,791.904,,OK,
801,7.969568604,231.005814,802.752,,OK,
803,8.333553206,244.7991362,802.752,,OK,
805,8.988089943,263.6052772,813.6,,OK,
807,9.724860634,284.3816982,824.448,,OK,
809,10.44023209,305.5525021,835.296,,OK,
811,10.23841339,312.7636351,835.296,,OK,
813,10.00515631,319.2699351,835.296,,OK,
815,9.39192842,319.076425,835.296,,OK,
817,8.987611956,321.99929,835.296,,OK,
819,10.12706465,294.780435,802.752,,OK,
821,10.39230195,309.1512964,802.752,,OK,
823,10.16642769,315.9296103,813.6,,OK,
825,9.87636858,321.4550922,813.6,,OK,
827,9.819963745,312.481201,781.056,,OK,
829,9.613757129,319.0018589,791.904,,OK,
831,9.154202364,321.2627398,791.904,,OK,
833,8.646990161,320.2239327,791.904,,OK,
835,8.108816915,320.1877144,791.904,,OK,
837,7.637588614,319.6185503,791.904,,OK,
839,8.338711333,300.7629982,759.36,,OK,
841,8.109424743,305.4331241,770.208,,OK,
843,7.969621557,311.3056979,781.056,,OK,
845,7.934942141,318.7204488,791.904,,OK,
847,7.607061625,321.4093027,791.904,,OK,
849,7.148187468,321.1442276,791.904,,OK,
851,6.729095702,320.7015083,791.904,,OK,
853,6.708000853,314.3099302,781.056,,OK,
855,6.46997248,317.2094771,781.056,,OK,
857,7.412552902,295.6582179,770.208,,OK,
861,7.089240401,297.8977708,770.208,,OK,
863,7.008585806,303.6965377,781.056,,OK,
865,6.834659311,307.9222996,791.904,,OK,
867,6.671576153,312.1476283,802.752,,OK,
869,6.658970262,318.6175102,802.752,,OK,
871,6.326917176,319.9636311,813.6,,OK,
873,5.984891283,320.818134,824.448,,OK,
875,6.149591196,312.1980441,824.448,,OK,
877,5.872540045,310.4812713,813.6,,OK,
879,6.029481424,318.8648734,813.6,,OK,
881,6.293624328,308.6091056,813.6,,OK,
883,6.600832946,319.8180678,813.6,,OK,
885,6.915030755,308.1900699,802.752,,OK,
887,7.279877527,320.942649,802.752,,OK,
889,6.885027328,321.9049233,802.752,,OK,
891,6.454797717,321.9062769,802.752,,OK,
893,9.304611512,269.8544584,781.056,,OK,
895,9.873131265,288.255386,791.904,,OK,
897,10.3653931,306.0047066,802.752,,OK,
899,10.02796524,310.971254,802.752,,OK,
901,10.10099289,322.1676616,813.6,,OK,
903,9.525798234,321.2697831,802.752,,OK,
905,8.959835755,321.7401817,813.6,,OK,
907,8.401687548,321.7107172,791.904,,OK,
909,8.475834229,312.1226828,770.208,,OK,
911,8.281436485,317.4881531,781.056,,OK,
913,8.030260406,321.7507723,791.904,,OK,
915,7.538350089,321.9104677,781.056,,OK,
917,8.080940875,305.690665,759.36,,OK,
919,8.081924716,313.7873473,770.208,,OK,
921,8.091020498,322.0148046,781.056,,OK,
923,7.593850175,322.1510999,791.904,,OK,
925,7.296541456,319.3141892,781.056,,OK,
927,6.990667004,321.7167394,781.056,,OK,
929,6.558788358,321.6361308,781.056,,OK,
931,6.152408065,321.5794271,781.056,,OK,
933,5.774770484,321.4692203,781.056,,OK,
935,5.44553735,321.9762607,781.056,,OK,
937,5.128515349,322.349446,770.208,,OK,
939,4.871697806,321.3300113,770.208,,OK,
941,4.596765992,320.8572226,781.056,,OK,
943,4.386677888,322.0925789,791.904,,OK,
945,4.121642728,322.2386942,802.752,,OK,
947,3.899424857,321.6725374,813.6,,OK,
949,3.67420922,321.3765628,824.448,,OK,
951,3.458525602,321.5998341,835.296,,OK,
953,3.316710738,320.4103463,846.144,,OK,
